stock_number,brand,model,sub_type,horse_power,gear_type,fuel_type,mileage,build_year,co2_emission,expected_sales_price,sold_price
KA59494,Peugeot,2008,1.2 PureTech SS,110,Manual,Benzin,16112,2017,103,16490,14999.0
FA29664,Seat,Ibiza,1.2 TSI,85,Manual,Benzin,106039,2013,119,9100,9099.0
SG51395,Seat,Leon,1.4 TSI,150,Manual,Benzin,43052,2017,114,20500,18199.0
FD79877,Alfa Romeo,Giulietta,1.6 JTDM,105,Manual,Diesel,45903,2015,104,13990,12999.0
YY19787,Audi,A1,1.4 TDI,90,Manual,Diesel,55264,2018,103,18990,17299.0
PV24893,BMW,1er,118d,150,Manual,Diesel,62171,2017,109,21399,21399.0
SE63516,Fiat,Panda,1.2,70,Manual,Benzin,69184,2016,119,8450,8499.0
AJ53111,Dacia,Sandero II,Stepway  ,73,Manual,Benzin,20422,2019,124,12990,11599.0
AE14042,BMW,2er,218dA,150,Automatic,Diesel,35796,2020,129,33499,32499.0
JM24022,Hyundai,Tucson,1.6 GDi ,132,Manual,Benzin,45207,2020,152,20499,20499.0
JS00610,Citroen,C4 Cactus,Puretech 81kw 110cv,110,Manual,Benzin,89211,2018,100,14899,14599.0
DK48548,Mercedes-Benz,A-Klasse,A 180 CDI,110,Duplex,Diesel,54068,2016,101,22990,22699.0
JD99669,Renault,Captur,1.5 dCi Energy,90,Manual,Diesel,62137,2018,95,16799,16199.0
GB95977,Peugeot,2008,1.2 PureTech,110,Manual,Benzin,41139,2016,103,13999,13799.0
RH49872,Hyundai,ix35,2.0 CRDi,185,Automatic,Diesel,126021,2013,189,13999,13999.0
YC31693,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 180,122,Automatic,Benzin,37670,2019,144,28500,25499.0
PJ67487,Kia,Sportage,1.6 TGDI,177,Manual,Benzin,52998,2018,173,23990,23999.0
AZ79758,Renault,Captur,1.5 dCi Energy,110,Manual,Diesel,12020,2017,98,16400,16399.0
GZ39704,Renault,Clio,1.2,75,Manual,Benzin,47414,2010,139,6999,6999.0
BH93118,Opel,Adam,1.4,100,Manual,Benzin,77965,2016,119,10699,10499.0
TA73666,Audi,A1,1.4 TDI 90cv,90,Manual,Diesel,76951,2016,97,15199,15199.0
KM04474,BMW,1er,118d,150,Manual,Diesel,89560,2017,109,20499,20299.0
MK58365,Toyota,AYGO,1.0-VVT-i,69,Manual,Benzin,113055,2016,95,8000,7999.0
BU28083,Opel,Antara,2.0 CDTI,125,Manual,Diesel,97897,2009,197,9999,9999.0
TP89224,Citroen,C4 Cactus,1.5 BlueHDi ,102,Manual,Diesel,105485,2018,97,15490,14899.0
YL31827,Seat,Leon,1.6 TDI SS,105,Automatic,Diesel,72843,2014,102,12500,12499.0
ZL88676,Volkswagen,Tiguan,2.0 TDI Life,116,Manual,Diesel,12132,2019,135,33000,32499.0
ZE42068,Toyota,Auris,1.8 Hybrid,100,Automatic,Other,49300,2016,82,16400,16399.0
JU83711,Seat,Ateca,1.5 TSI,150,Manual,Benzin,36863,2018,126,23699,22899.0
NK57384,Kia,Niro,1.6 GDI Hibrido,104,Automatic,Other,82583,2019,86,20590,18899.0
SZ69002,Ford,Ka+,1.2 TiVCT,86,Manual,Benzin,17302,2019,129,14250,12399.0
FA41608,Seat,Leon,ST 1.6 TDI,110,Manual,Diesel,52367,2016,105,13499,13499.0
ZT88781,MINI,MINI,Cooper,135,Manual,Benzin,22489,2018,123,23799,23799.0
HU66314,Dacia,Sandero II,TCe,90,Manual,Benzin,89202,2014,124,9299,9299.0
EC53595,Volkswagen,Passat,1.8 TSI,160,Manual,Benzin,138102,2010,174,7999,7499.0
FE23312,Seat,Leon,1.5 TSI,131,Manual,Benzin,50091,2019,111,19600,17199.0
LK32741,Toyota,Yaris,1.0 70,72,Manual,Benzin,33796,2019,107,12900,12899.0
US42670,Renault,Clio,TCe  55kw 75cv,76,Manual,Benzin,75138,2019,114,12999,12699.0
LV28467,Peugeot,208,Allure,100,Manual,Diesel,107660,2016,90,11499,11299.0
TM28458,Ford,Focus,2.0 EcoBoost,250,Manual,Benzin,45122,2017,159,24990,24999.0
MK65540,Mercedes-Benz,CLA-Klasse,CLA 180,136,Manual,Benzin,25841,2020,128,35250,31499.0
RC59896,Opel,Corsa,1.4,75,Manual,Benzin,73783,2015,120,9350,8699.0
BB54306,Dacia,Sandero II,Stepway TCe,90,Manual,Benzin,56067,2016,115,11499,10999.0
KC10255,Citroen,C4 Picasso,1.6 VTi,120,Manual,Benzin,65737,2010,159,7999,7999.0
RT27165,Toyota,Yaris,1.4 D-4D,90,Manual,Diesel,155820,2013,104,8499,8499.0
LX74410,Hyundai,i10,1.2,87,Manual,Benzin,22733,2018,114,11999,11999.0
RF03470,Fiat,500,1.2 8v,70,Manual,Benzin,53972,2016,115,10699,10699.0
TV26687,Peugeot,208,Style 1.6 ,75,Manual,Diesel,61721,2016,90,11490,11099.0
NT28860,Audi,A1,1.0 TFSI,95,Manual,Benzin,110635,2016,98,14499,14499.0
UD92729,BMW,1er,118i,135,Manual,Benzin,6834,2019,137,24000,23199.0
XA83812,Peugeot,308,1.2 e-THP,130,Automatic,Benzin,87375,2016,112,14890,14899.0
PD38655,Peugeot,3008,1.5 Blue-HDi,130,Automatic,Diesel,47797,2019,108,27499,27499.0
AF62516,MINI,Cabrio,Cooper S,192,Automatic,Benzin,42837,2016,134,29250,28499.0
RL60005,Peugeot,508,Active,115,Automatic,Diesel,80967,2014,104,12499,12299.0
PX50181,Seat,Leon,2.0 TDI,150,Manual,Diesel,46959,2017,112,19999,19699.0
EG64006,Citroen,Berlingo,Talla M BlueHDi,102,Manual,Diesel,90366,2018,112,20499,20499.0
LK80770,Toyota,Auris,1.8 Hybrid,100,Automatic,Other,51347,2017,82,16301,16399.0
ZT10046,Audi,A3,1.6 TDI,115,Manual,Diesel,43308,2018,99,21900,20999.0
FD58034,Dacia,Duster II,1.6 ,115,Manual,Benzin,64389,2018,149,14999,14699.0
MU43690,Nissan,Juke,1.5 Turbodiesel,110,Manual,Diesel,79205,2015,104,12600,12599.0
CD16213,Jeep,Renegade,1.0 TGDi,120,Manual,Benzin,66209,2018,134,17600,16499.0
RJ22098,Kia,Carens,1.7 CRDi,115,Manual,Diesel,88441,2016,107,14750,14199.0
JC29253,Renault,Captur,1.2 TCe,120,Duplex,Benzin,81411,2014,125,13899,13899.0
JN95153,Toyota,Verso,1.6 D-4D,110,Manual,Diesel,125081,2014,119,13999,13999.0
MD71446,Citroen,C-Elysée,1.6 HDi 92,92,Manual,Diesel,83162,2015,108,8900,9199.0
UA57650,Kia,Picanto,1.0 DPi 49kw 67cv,67,Manual,Benzin,7661,2020,101,11999,11799.0
HK43075,Toyota,Yaris,1.5 Hybrid,101,Automatic,Other,1357,2020,87,22499,22499.0
ZH33722,Land Rover,Evoque,2.0 Td4,150,Manual,Diesel,52491,2016,113,25990,26899.0
YG08173,Citroen,C4 Picasso,BlueHDi 120cv,120,Manual,Diesel,86553,2016,100,14990,13899.0
MY44757,Seat,Leon,1.6 TDI,110,Manual,Diesel,108937,2016,106,14499,14199.0
DH47113,Peugeot,Partner,Tepee 1.6 Blue-HDi,100,Manual,Diesel,140750,2017,113,15999,15999.0
EY76694,Hyundai,i20,1.0 TGDI,101,Automatic,Benzin,1980,2022,117,18290,18299.0
KW40332,Seat,Ibiza,1.0 TSI Style Plus,95,Manual,Benzin,12364,2020,100,14750,14799.0
LG21873,Citroen,C5 Aircross,2.0 Blue-HDi,179,Automatic,Diesel,16020,2020,123,30999,30499.0
PW03196,Citroen,C4 Grand Picasso,1.2 PureTech,130,Manual,Benzin,112952,2017,116,16999,16999.0
CW37378,Volkswagen,Golf VII,1.5 TSI,131,Manual,Benzin,33749,2020,115,20799,20799.0
WY91299,Volvo,V 60,2.0 D4,190,Automatic,Diesel,45207,2019,119,30999,30999.0
PT05107,Mercedes-Benz,C-Klasse,C 220 CDI,170,Manual,Diesel,138904,2011,117,14499,14499.0
AV63768,Seat,Ibiza,1.0 TSI,115,Manual,Benzin,46245,2018,108,17475,16099.0
MY76296,Seat,Ibiza,1.6 TDI,95,Manual,Diesel,43997,2018,100,15900,15299.0
JE77527,Peugeot,208,1.2 e-THP,110,Manual,Benzin,57247,2016,99,13050,12699.0
PJ54326,Citroen,Berlingo,Multispace 20 Aniv,120,Manual,Diesel,86009,2018,113,17990,17999.0
LY63393,Ford,Transit,1.5 TDCi,95,Manual,Diesel,31642,2017,104,14599,14599.0
ZE77604,Citroen,C3,1.6 Blue-HDi,75,Manual,Diesel,72737,2016,90,10000,9599.0
XL55301,Opel,Combo Life,1.2 T,110,Manual,Benzin,36465,2019,125,22750,22399.0
LC00361,Toyota,C-HR,1.8 Hybrid,122,Automatic,Other,92300,2018,87,21499,21499.0
VK51004,Opel,Corsa,1.3 CDTI,75,Manual,Diesel,63445,2018,107,11999,11799.0
FC23787,Fiat,Tipo,1.4 Turbo,120,Manual,Benzin,60254,2017,139,14499,14499.0
LB79227,Citroen,C3,1.2 e-THP,110,Manual,Benzin,6315,2019,107,16500,16899.0
AH33494,Seat,Leon,1.6 TDI,105,Manual,Diesel,73958,2013,99,11599,11599.0
ZE84740,Mercedes-Benz,C-Klasse,C 220 d,170,Automatic,Diesel,85384,2015,109,23999,23999.0
BP16227,Volkswagen,Tiguan,2.0 TDI,177,Automatic,Diesel,86239,2013,154,18499,18499.0
NN45680,Ford,Focus,1.0 EcoBoost,125,Manual,Benzin,19062,2019,114,21500,19699.0
AM72967,Skoda,Fabia,1.0 TSI,95,Manual,Benzin,20776,2019,106,13999,13999.0
WZ11262,Volkswagen,Polo,1.0 TSI,95,Automatic,Benzin,45024,2018,105,17250,17299.0
VH71500,Peugeot,208,1.2 PureTech,82,Manual,Benzin,24962,2018,109,12499,12499.0
TX25138,Nissan,NV200 Evalia,1.5 dCi,90,Manual,Diesel,50461,2018,133,17999,17999.0
DU41550,Opel,Zafira Tourer,1.4 Turbo,140,Automatic,Benzin,72423,2017,150,17699,17699.0
XY33692,Ford,Focus,1.0 EcoBoost,125,Manual,Benzin,79660,2015,108,11299,11299.0
FL33465,Citroen,C4 Cactus,Puretech 60kw 82cv,82,Manual,Benzin,37709,2016,107,12950,12999.0
VZ53863,Toyota,Yaris,1.5 Hybrid,75,Automatic,Other,44861,2018,84,16100,15799.0
BE97683,Skoda,Fabia,1.0 TSI,110,Manual,Benzin,58101,2018,103,13599,13599.0
UW73202,Jeep,Renegade,1.4 MAir DDCT,140,Manual,Benzin,64884,2018,137,17895,17899.0
TC42102,Hyundai,i30,1.0 TGDI,120,Manual,Benzin,56681,2018,120,16250,15599.0
LP02962,Seat,Leon,1.5 TSI SS,131,Manual,Benzin,26685,2019,111,18490,17299.0
PL45423,Seat,Leon,1.4 TSI ACT ,150,Manual,Benzin,96252,2017,114,17490,16099.0
KU92945,Peugeot,5008,1.6 Blue-HDi,120,Manual,Diesel,55118,2015,113,14500,14799.0
HW49093,Ford,Tourneo,Courier 1.0 EcoBoost,100,Manual,Benzin,36804,2018,120,17250,17299.0
GL24524,Peugeot,2008,1.2 PureTech,82,Manual,Benzin,34361,2019,114,15490,15199.0
ZW38017,Citroen,C3,PureTech,82,Manual,Benzin,49016,2019,110,13800,13399.0
FX50277,Volkswagen,Polo,1.0 TSI,115,Manual,Benzin,38870,2018,107,18999,18999.0
MD07296,Toyota,Yaris,1.5 Hybrid,75,Automatic,Other,26895,2019,84,17650,17699.0
UM83624,Skoda,Fabia,1.0 MPI,75,Manual,Benzin,46162,2015,108,10540,9999.0
WP45407,Citroen,C3,1.0 VTi,68,Manual,Benzin,18342,2014,99,8990,9299.0
XV93466,Toyota,Corolla,2.0 180H,179,Automatic,Other,16601,2020,89,25499,25499.0
LH98505,Seat,Leon,1.4 TSI 140cv ,140,Manual,Benzin,108500,2013,119,13499,13199.0
GR56748,Volkswagen,Polo,1.0 TSI,95,Manual,Benzin,40947,2018,101,15200,15299.0
ZY33983,Citroen,DS3,1.2 PureTech,82,Manual,Benzin,9467,2016,107,11500,11999.0
HJ34983,Volkswagen,Polo,1.4 TDI,90,Manual,Diesel,130089,2016,125,10883,10899.0
LZ18619,Ford,Fiesta,1.0 EcoB. MHEV ,155,Manual,Other,12161,2020,95,21499,21199.0
SR52411,BMW,X1,sDrive 18d,143,Manual,Diesel,148846,2013,128,15490,15299.0
GP95778,Fiat,Tipo,1.3 M-Jet,95,Manual,Diesel,56051,2019,109,13899,13899.0
ZP20386,BMW,1er,118d,143,Manual,Diesel,126276,2013,109,14499,13899.0
EL20905,Toyota,RAV 4,2.5 Hybrid,197,Automatic,Other,90964,2017,116,23700,21399.0
TE41576,BMW,2er,218d,150,Automatic,Diesel,61545,2018,119,25000,24999.0
HW82313,Toyota,Verso,1.6,110,Manual,Diesel,81450,2015,119,13990,13999.0
ZG94744,Peugeot,2008,1.6 Blue-HDi,100,Manual,Diesel,79456,2016,97,14300,13699.0
JK92830,Ssangyong,Tivoli,D16T,115,Manual,Diesel,16293,2019,131,16990,16999.0
PA01900,Citroen,C3,1.4 HDi,68,Manual,Diesel,73800,2015,99,9990,9199.0
BG63752,Skoda,Citigo,1.0 MPI,60,Manual,Benzin,34402,2016,105,8499,8499.0
JM08550,Opel,Grandland X,1.6 CDTI DPF,120,Manual,Diesel,41709,2018,104,20500,18499.0
JV68123,Peugeot,Partner,1.6 BlueHDi 100,100,Manual,Diesel,50089,2017,113,17499,17499.0
MH41451,Renault,Espace,1.6 dCi Energy,160,Duplex,Diesel,106517,2017,120,21750,19899.0
CZ87616,Renault,Clio,1.2 TCe Energy,118,Duplex,Benzin,23083,2018,120,16150,14799.0
ZG30680,Peugeot,208,1.2L Pure Tech SS,110,Manual,Benzin,66849,2015,103,11990,11999.0
XL52135,Opel,Insignia,1.6 CDTI DPF,110,Manual,Diesel,142976,2017,105,15499,15499.0
UZ64364,Nissan,Qashqai,1.5 Turbodiesel,110,Manual,Diesel,42367,2016,103,16990,16999.0
WT53798,Volkswagen,Golf VII,1.6 TDI,105,Manual,Diesel,126996,2013,99,11899,11899.0
HZ79073,Dacia,Duster II,1.5 Blue dCi,116,Manual,Diesel,39584,2019,107,16999,16999.0
HP98231,Audi,A3,1.6 TDI Sportback,115,Manual,Diesel,66415,2018,108,20750,19899.0
AV40923,Renault,Clio,0.9 TCe,90,Manual,Benzin,107958,2015,114,10350,9499.0
CG18088,Citroen,C4,PureTech,110,Manual,Benzin,54393,2016,112,12249,11399.0
YD55556,Dacia,Sandero II,0.9 TCe,90,Manual,Benzin,30603,2017,115,12199,12199.0
UF93332,Toyota,Yaris,1.5 Hybrid,75,Automatic,Other,34227,2018,75,16100,15899.0
TG90669,Audi,A1,30 TFSI,116,Manual,Benzin,24357,2020,111,23499,23499.0
XR60476,Citroen,Berlingo,1.2 e-THP,110,Manual,Benzin,75891,2017,119,15400,15199.0
EW54776,Opel,Astra K,1.4 Turbo,125,Manual,Benzin,76817,2018,117,14499,14499.0
PM87194,Volkswagen,Golf VII,1.2 TSI Edition ,110,Manual,Benzin,20668,2015,114,16250,14999.0
GA60656,Lexus,NX-Serie,2.5 300h,155,Automatic,Other,47162,2018,117,30999,30499.0
JZ37212,Peugeot,208,1.2 PureTech,82,Manual,Benzin,55473,2018,109,12699,12399.0
RF75899,Seat,Altea,1.6 TDI,105,Manual,Diesel,85128,2015,119,10750,10999.0
SA99284,Seat,Leon,2.0 TDI,150,Manual,Diesel,38218,2017,112,20399,19899.0
PL11223,Dacia,Sandero II,0.9 TCe,90,Manual,Benzin,21831,2017,115,12299,12099.0
CM13644,Fiat,Tipo,1.6 Multijet ,120,Manual,Diesel,79698,2019,116,15999,15699.0
WR85821,Peugeot,308,Active,115,Manual,Diesel,111042,2014,95,11399,11399.0
BP49837,Ford,Focus,1.0 EcoBoost Mild-Hybrid,155,Manual,Other,24974,2020,96,23999,23999.0
WF39580,Toyota,C-HR,1.8 Hybrid,122,Automatic,Other,16338,2018,87,23490,23499.0
DZ20162,Dacia,Sandero II,1.5 Blue dCi,95,Manual,Diesel,25872,2019,102,14490,14499.0
DY65722,Kia,Picanto,1.0,67,Manual,Benzin,16803,2020,106,11150,10599.0
NE56396,Opel,Karl,1.0,75,Manual,Benzin,31140,2016,104,10499,10499.0
JW60410,Audi,A1,1.2 TFSI,85,Manual,Benzin,57342,2012,118,11799,11799.0
CU40856,Hyundai,i20,1.2,85,Manual,Benzin,43521,2017,112,10400,10999.0
XN72250,Mazda,CX-3,2.0,150,Manual,Benzin,20493,2019,160,22699,22699.0
BB89186,BMW,3er,318d,150,Automatic,Diesel,25815,2018,124,24499,24499.0
TF69296,Nissan,Micra,1.0 IG-T,101,Manual,Benzin,21861,2020,103,15499,15499.0
MD22289,Ford,Focus,1.0 EcoBoost,125,Manual,Benzin,40990,2019,114,21250,19099.0
WR80884,Seat,Leon,1.4 TSI,125,Manual,Benzin,17277,2018,120,21400,19499.0
MF37520,Dacia,Logan II,1.2,75,Manual,Benzin,47164,2016,130,8150,8199.0
AM79778,Opel,Insignia,1.5 Turbo,165,Manual,Benzin,6957,2017,136,20590,20599.0
CC59033,Peugeot,208,Style 1.6 ,100,Manual,Diesel,44634,2017,90,13199,13099.0
SZ47416,Audi,Q3,2.0 TFSI,220,Automatic,Benzin,58277,2017,154,29999,29999.0
PJ94809,Skoda,Fabia,1.0 TSI,110,Manual,Benzin,16270,2020,104,14500,14299.0
WJ35521,Smart,fortwo,0.9 Turbo,90,Automatic,Benzin,55013,2017,96,12750,11899.0
ZS23914,Ford,Tourneo,1.0 EcoBoost,100,Manual,Benzin,9014,2019,131,17490,17499.0
TT15445,Toyota,Auris,1.8 140H,100,Automatic,Other,95714,2017,91,15990,15799.0
YF13193,Renault,Megane,1.5 dCi Energy,110,Manual,Diesel,59231,2017,95,16500,15499.0
FM21789,Renault,Scenic,BOSE Edition,110,Manual,Diesel,48231,2015,105,12899,12699.0
SL43429,Ford,Focus,1.0 EcoBoost,125,Manual,Benzin,62638,2018,114,18499,18499.0
KN62584,Toyota,AYGO,1.0,70,Automatic,Benzin,8773,2017,97,11500,12199.0
EE65835,Seat,Ibiza,1.2 TSI,85,Manual,Benzin,81761,2014,119,9495,9699.0
CF56524,Volkswagen,Golf VII,1.6 TDI,105,Automatic,Diesel,98748,2013,102,13990,13399.0
NZ84685,Peugeot,2008,Allure,100,Manual,Diesel,61212,2016,97,14599,14599.0
WL21571,Fiat,500,1.2,70,Semi-Automatic,Benzin,108147,2016,111,10499,10499.0
FU38154,Hyundai,i30,1.6 CRDi,110,Manual,Diesel,113548,2018,96,13490,13499.0
TN79918,Mazda,CX-5,2.0,165,Manual,Benzin,127330,2015,139,16200,15799.0
JF87168,Kia,XCeed,1.6 CRDi,136,Duplex,Diesel,29365,2019,120,23750,23799.0
KC85786,Opel,Vivaro,1.6 Biturbo CDTI,125,Manual,Diesel,47595,2016,145,22500,22499.0
TM43955,Mercedes-Benz,CLA-Klasse,CLA 200 d,135,Duplex,Diesel,126831,2017,105,24999,24999.0
HW33682,Volvo,XC 60,2.0 D3,150,Manual,Diesel,68452,2016,117,23500,22599.0
RT03192,Seat,Ibiza,1.0 TSI,110,Manual,Benzin,81931,2015,99,12499,11899.0
FS80841,Citroen,Berlingo,Talla M BlueHDi,131,Automatic,Diesel,56418,2020,107,28699,28299.0
XL73066,Fiat,500,1.2,70,Semi-Automatic,Benzin,24287,2018,111,13999,13599.0
VE85603,Peugeot,208,1.6 Blue-HDi,75,Manual,Diesel,64827,2017,90,11490,11299.0
EU23521,Ford,Tourneo,Courier 1.0 EcoBoost,100,Manual,Benzin,40702,2018,131,16500,16499.0
AM76743,Renault,Megane,1.6 dCi Energy,130,Manual,Diesel,72483,2018,103,17650,16599.0
SZ34545,Peugeot,Partner,1.6 Tepee Blue-HDi ,120,Manual,Diesel,30310,2017,113,18800,19299.0
YB43273,Toyota,Yaris,1.5 Dual VVT-iE,110,Manual,Benzin,26906,2017,109,13900,12299.0
UX08668,Renault,Clio,0.9 Energy,90,Manual,Benzin,32242,2018,113,14490,14499.0
CG36120,Renault,Megane, Coupé dCi  81Kw 110CV EDC,110,Manual,Diesel,65870,2016,93,12999,12499.0
JW57452,Renault,Clio,0.9 Energy,90,Manual,Benzin,83024,2013,105,9799,9799.0
LV35978,Mitsubishi,ASX,1.6,117,Manual,Benzin,25807,2019,152,17900,17899.0
SH74800,Toyota,Yaris,1.0 VVT-i,70,Manual,Benzin,29707,2016,99,10750,10799.0
EC50190,Renault,Clio,1.5 dCi,75,Manual,Diesel,97525,2016,85,9699,9699.0
YM99509,Ford,Focus,1.5 TDCi,120,Manual,Diesel,67646,2017,105,16499,15999.0
HY41713,Fiat,Panda,1.2,70,Manual,Benzin,79832,2013,120,7299,7299.0
UN27866,Honda,Jazz,1.2 TiVCT,90,Manual,Benzin,64799,2010,125,6800,6799.0
NW86121,Ford,C-Max,1.6Ti VCT 105,105,Manual,Benzin,130826,2012,154,8900,8599.0
UB45504,Renault,Megane,1.5 dCi Energy,110,Manual,Diesel,69206,2016,93,14799,14799.0
DP64857,Seat,Leon,1.6 TDI,115,Manual,Diesel,79558,2017,105,15490,15099.0
LC01377,Audi,A1,1.4 TDI,90,Manual,Diesel,78181,2015,90,13990,13499.0
WX75130,Citroen,C3,1.2 PureTech,82,Manual,Benzin,4105,2021,123,16999,16699.0
BZ74170,Citroen,C3 Aircross,1.2 PureTech SS,110,Manual,Benzin,68945,2018,109,14990,14999.0
YK63829,Renault,Captur,Intens Energy,90,Manual,Benzin,29166,2017,113,15900,15399.0
KG01771,Audi,Q3,35 TFSI,150,Manual,Benzin,36989,2019,140,33000,32999.0
UF31725,Peugeot,Rifter,1.5 Blue-HDi,102,Manual,Diesel,26755,2019,113,21900,21899.0
BJ60562,Abarth,500,1.4 TJet ,140,Manual,Benzin,88530,2016,139,13999,13999.0
KV31074,Ford,Puma,1.0 EcoBoost,125,Manual,Benzin,37660,2020,103,22499,22499.0
WV66707,Renault,Clio,1.5 dCi,75,Manual,Diesel,108781,2015,95,9199,9199.0
RR64252,Honda,CR-V,1.6 DTEC,120,Manual,Diesel,74983,2017,115,19990,18899.0
TN85422,Kia,cee'd,1.4 CRDi,90,Manual,Diesel,95231,2016,109,11999,11799.0
LH90437,Seat,Ibiza,1.6 TDI,90,Manual,Diesel,157490,2010,109,6999,6999.0
YA18002,Toyota,C-HR,1.8 125H Active,122,Automatic,Other,64854,2018,87,22000,21299.0
RX84855,Renault,Clio,1.2 16v,73,Manual,Benzin,7417,2013,127,9599,9599.0
LV77582,Toyota,AYGO,1.0,70,Manual,Benzin,18274,2016,95,9999,9999.0
FN81595,Nissan,Juke,G E6D Temp ,113,Manual,Benzin,12683,2019,157,15850,15899.0
CK03924,Seat,Ibiza,1.5 TSI ,150,Manual,Benzin,48388,2018,112,19400,18299.0
GU02507,Citroen,C-Elysée,1.2 VTi,82,Manual,Benzin,78082,2016,110,9199,9199.0
LT05333,Seat,Exeo,2.0 TDI,143,Manual,Diesel,150456,2011,136,8490,8499.0
LH20948,Renault,Grand Scenic,1.6 dCi Energy,130,Manual,Diesel,49483,2018,119,20999,20999.0
PZ39914,BMW,3er,318d,150,Manual,Diesel,65855,2018,1,22999,22799.0
EK31268,Seat,Alhambra,2.0 TDI SS,185,Automatic,Diesel,46418,2017,141,28490,28499.0
ZN42399,Nissan,Juke,1.2 DIGT,115,Manual,Benzin,20314,2015,128,13799,13799.0
DB50984,Mazda,3,2.0 SKYACTIVG,122,Manual,Other,6253,2020,116,23500,23499.0
YZ69069,Opel,Astra K,1.6 CDTI,135,Manual,Diesel,112847,2017,103,13999,13999.0
NM34642,Ford,Focus,1.6 Ti-VCT,125,Semi-Automatic,Benzin,53864,2017,146,13499,13499.0
SU75694,Ssangyong,Tivoli,1.6,128,Manual,Benzin,35087,2018,154,16799,16799.0
XK12649,Peugeot,308,1.6 Blue-HDi,100,Manual,Diesel,68958,2018,950,13890,14399.0
MB12706,Suzuki,Swift,1.0,110,Manual,Other,43571,2019,98,14990,14399.0
NU54813,Peugeot,208,1.2 PureTech Active Pack,101,Manual,Benzin,4216,2021,118,18700,18699.0
AW80762,Peugeot,Rifter,GT Line,131,Manual,Diesel,40488,2018,114,27999,26699.0
EK63146,Dacia,Dokker,1.5 dCi ,90,Manual,Diesel,81099,2016,108,12950,13299.0
GH44915,Ford,Kuga,1.5 TDCi 88KW 4X2,120,Manual,Diesel,43209,2017,115,19400,18699.0
AW55490,Citroen,C4 Cactus,1.6 Blue-HDi,100,Manual,Diesel,138544,2017,95,13099,12399.0
DG98029,Smart,fortwo,1.0,70,Semi-Automatic,Benzin,49734,2013,98,8399,7999.0
YH60804,Kia,Sorento,2.2 CRDi,200,Automatic,Diesel,25741,2015,174,26999,26999.0
KY74535,Citroen,C3,1.1,60,Manual,Benzin,80603,2012,137,7399,7399.0
XU94003,Dacia,Sandero II,1.5 dCi,75,Manual,Diesel,52214,2017,90,9750,9799.0
DN12739,Seat,Leon,1.2 TSI,110,Manual,Benzin,57099,2017,114,14999,14999.0
PS81970,Renault,Captur,1.3 TCe,150,Duplex,Other,10794,2021,136,24800,24799.0
CE95289,Toyota,Prius+,1.8,100,Automatic,Other,64485,2018,112,24000,23699.0
MM39795,Fiat,500,1.2,70,Manual,Benzin,99280,2014,117,7490,7799.0
XY97794,Peugeot,208,1.2L PureTech,82,Manual,Benzin,38067,2015,104,10500,10399.0
PL32131,Citroen,C3, BlueHDi,75,Manual,Diesel,78257,2018,92,12490,11699.0
XD93886,Renault,Espace,1.6 dCi Energy,160,Duplex,Diesel,120833,2016,120,19950,19999.0
TN99522,Toyota,C-HR,1.8 Hybrid,122,Automatic,Other,53964,2016,87,21299,21299.0
AB80007,Toyota,Yaris,100 MultiDrive,100,Automatic,Benzin,64538,2013,118,10850,10899.0
SR68197,Peugeot,308,1.6 Blue-HDi,120,Manual,Diesel,138535,2015,96,12499,12499.0
WB22745,Kia,Rio,1.2 CVVT,85,Manual,Benzin,30659,2018,109,12999,12699.0
EC53322,Volvo,V 40,Cross Country 2.0 D3,150,Automatic,Diesel,81517,2017,110,18699,18499.0
FH29392,Seat,Altea,1.6 TDI,105,Manual,Diesel,100933,2013,119,9699,9699.0
ME68059,Citroen,C3,1.2 PureTech,82,Manual,Benzin,34999,2018,109,13699,13699.0
NZ54087,Opel,Adam,1.4,87,Manual,Benzin,38333,2016,119,11599,11599.0
WA18178,Volkswagen,T-Cross,1.0 TSI,110,Manual,Benzin,3885,2021,135,23999,23199.0
DE17434,Toyota,Auris,1.8 Hybrid,100,Automatic,Other,30341,2018,94,18000,18399.0
EA69693,Citroen,Berlingo,1.5 Blue-HDi,102,Manual,Diesel,76768,2019,115,24899,24499.0
NK45058,Opel,Corsa,1.4,90,Manual,Benzin,97245,2016,120,10120,10099.0
AP32066,Kia,pro_cee'd,1.6 CRDi,135,Manual,Diesel,116719,2016,102,12999,12999.0
MR02833,Kia,cee'd,1.4 CRDi,90,Manual,Diesel,43460,2018,109,13990,12999.0
WB33136,Opel,Crossland X,1.2,110,Manual,Benzin,50971,2018,106,15800,14999.0
VV22195,Dacia,Duster,1.5 dCi,110,Manual,Diesel,84921,2017,115,15900,15899.0
YP00822,Peugeot,308,SW Allure ,130,Manual,Benzin,105405,2014,115,11999,11999.0
SE01514,Kia,Optima,1.7 CRDi,140,Manual,Diesel,97676,2017,110,13980,13899.0
PS11492,Hyundai,Tucson,2.0 CRDi,135,Manual,Diesel,112584,2015,139,18650,18199.0
AV68114,Hyundai,i20,1.0 TGDI,101,Manual,Benzin,18361,2021,119,17500,17199.0
HA74513,Kia,cee'd,1.4 TGDi 74 Kw 100cv,100,Manual,Benzin,39007,2019,145,16290,15299.0
